Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,Item_Type_Combined,Item_Visibility_MeanRatio,Outlet
DRG27,8.895,0,0.10527411099999999,39.9138,OUT049,1,0,1,690.4346,14,0,1.029670894287246,9
DRI25,19.6,0,0.033970195,55.1614,OUT045,2,1,1,1381.535,11,0,0.9315179184271948,7
FDA44,19.7,0,0.053212652,57.893,OUT035,2,1,1,622.523,9,1,0.9294568248579793,6
NCR17,9.8,1,0.024378706,114.5492,OUT035,2,1,1,1274.3412,9,2,0.9988808191929445,6
FDU04,7.93,0,0.009714595,120.0414,OUT019,2,0,0,487.3656,28,1,2.03215612351227,4
FDF41,12.15,0,0.131383762,246.046,OUT049,1,0,1,1231.73,14,1,0.8760887632599259,9
FDB56,8.75,2,0.07461309,187.4556,OUT035,2,1,1,3755.112,9,1,1.1406381675043848,6
NCP18,12.150000000000002,1,0.028459761,149.9708,OUT027,1,2,3,4363.6532,28,2,0.9178236759482314,5
FDB56,8.75,2,0.07462720099999999,187.8556,OUT046,2,0,1,1314.2892,16,1,1.1408538876304597,8
FDT28,13.3,0,0.063695084,151.0708,OUT045,2,1,1,1805.6496,11,1,0.9241603474535889,7
FDD10,20.599999999999998,2,0.045797829000000005,178.5344,OUT027,1,2,3,2854.9504,28,1,1.031674956283392,5
FDW57,8.31,2,0.11585722300000001,179.1028,OUT049,1,0,1,3896.2616,14,1,1.1434172322184795,9
DRB48,16.75,2,0.024832806000000002,38.7822,OUT013,0,2,1,667.7974,26,0,1.0358550701475788,1
FDP09,19.75,0,0.034027909,212.0902,OUT018,1,2,2,3185.853,4,1,0.878292065399008,3
FDH14,17.1,2,0.046769599999999995,141.1838,OUT013,0,2,1,2247.7408,26,1,0.8740008565954392,1
FDA47,10.5,2,0.11657670199999999,163.121,OUT013,0,2,1,1794.3310000000001,26,1,1.0269770126654036,1
FDG12,6.635,2,0.004924115333333334,121.3098,OUT045,2,1,1,2530.7058,11,1,1.0,7
DRE60,9.394999999999998,0,0.278974075,225.372,OUT019,2,0,0,679.1160000000001,28,0,1.6148105888188795,4
DRK49,14.15,0,0.035913805,41.4138,OUT013,0,2,1,812.2760000000001,26,0,1.0320655400408245,1
FDD03,13.3,0,0.079806266,232.53,OUT046,2,0,1,699.09,16,1,0.9990697472460142,8
FDS52,8.89,0,0.005505481,102.4016,OUT017,2,1,1,2732.4432,6,1,0.8796765744587313,2
FDW39,6.6899999999999995,2,0.064625342,176.937,OUT019,2,0,0,176.437,28,1,2.2590030521565168,4
FDX34,6.195,0,0.071636937,121.7098,OUT027,1,2,3,4097.3332,28,1,0.9942317071612333,5
FDV11,9.1,2,0.078393078375,173.2054,OUT045,2,1,1,3151.8972,11,1,1.0,7
FDD17,7.5,0,0.032677677999999995,239.0906,OUT049,1,0,1,5942.265,14,1,0.9600513321983414,9
FDZ16,16.85,2,0.160760054,192.4478,OUT017,2,1,1,4843.695,6,1,0.9643770890741937,2
FDZ46,7.485,0,0.06911065,109.0228,OUT035,2,1,1,2542.0244,9,1,0.9988808423019978,6
DRA12,11.6,0,0.041177505,140.3154,OUT017,2,1,1,2552.6772,6,0,1.178594921346777,2
FDY58,11.65,0,0.040081193,227.0694,OUT018,1,2,2,1141.847,4,1,0.8782920723575603,3
NCF19,13.0,1,0.035307322,47.5034,OUT017,2,1,1,680.4476,6,2,0.8796766231887589,2
DRJ13,12.65,0,0.063017847,159.0578,OUT045,2,1,1,2085.9514,11,0,0.9315179229166382,7
FDB14,20.25,2,0.171938781,92.512,OUT010,2,2,0,186.424,15,1,1.7289048798428783,0
FDJ38,8.6,2,0.040197932,190.153,OUT035,2,1,1,3036.048,9,1,1.0268322866030557,6
FDW11,12.6,0,0.049058014000000004,62.7194,OUT017,2,1,1,866.8716,6,1,0.9348909916042781,2
FDL40,17.7,0,0.01161096,95.041,OUT035,2,1,1,868.8689999999999,9,1,1.1524417273242413,6
DRI49,14.15,0,0.183507295,82.4276,OUT046,2,0,1,1137.1864,16,0,0.9990697492376226,8
FDV38,19.25,0,0.102349519,52.7956,OUT017,2,1,1,928.1252,6,1,0.8796766148142436,2
DRG23,8.88,0,0.08670898699999999,151.7682,OUT013,0,2,1,762.341,26,0,1.0363413496738674,1
NCP30,20.5,1,0.032835147,40.2822,OUT045,2,1,1,707.0796,11,2,1.0010958955480702,7
FDY25,12.0,0,0.033809913,180.5976,OUT027,1,2,3,7968.2944,28,1,1.1363659495637664,5
NCH54,13.5,1,0.07266912,160.292,OUT046,2,0,1,1438.128,16,2,0.862651744964282,8
NCR53,12.150000000000002,1,0.144338493,224.4404,OUT027,1,2,3,6976.2524,28,2,0.954309088738357,5
FDS52,8.89,0,0.009163216,101.7016,OUT010,2,2,0,101.2016,15,1,1.464116661542459,0
FDG02,7.855,0,0.011307038,188.5188,OUT018,1,2,2,952.0939999999999,4,1,0.926046942176665,3
NCO26,7.235,1,0.076855628,116.0492,OUT046,2,0,1,1969.4364,16,2,0.9296326048503732,8
FDH35,18.25,0,0.059956876,165.4526,OUT027,1,2,3,5262.4832,28,1,1.0319385007878608,5
FDB51,6.92,0,0.038532062,60.5852,OUT045,2,1,1,1314.2892,11,1,1.001095885421211,7
FDX44,9.3,0,0.043209581,90.8172,OUT017,2,1,1,535.3032,6,1,0.9275067689403469,2
NCN07,18.5,1,0.056816465,132.1284,OUT010,2,2,0,263.6568,15,2,1.4641166640747971,0
NCC31,8.02,1,0.019866705,154.5972,OUT035,2,1,1,1402.1748,9,2,0.9583206892729483,6
NCX54,9.195,1,0.048331717,105.1622,OUT017,2,1,1,1693.7952,6,2,0.9348909809950855,2
NCO55,12.8,1,0.091221855,105.5938,OUT045,2,1,1,2143.876,11,2,0.8765027636722214,7
NCC30,16.6,1,0.027622076000000002,177.6344,OUT049,1,0,1,2676.5159999999996,14,2,0.9310779320436928,9
FDI16,14.0,2,0.14164533829999998,53.06399999999999,OUT035,2,1,1,905.488,9,1,1.0,6
FDP16,18.6,0,0.039355947,246.3802,OUT049,1,0,1,7370.406,14,1,0.9310779430846443,9
FDB11,16.0,0,0.060836524,226.8404,OUT035,2,1,1,6301.1312,9,1,0.9294568219899721,6
NCB06,17.6,1,0.082316506,160.692,OUT035,2,1,1,1597.92,9,2,0.929456818503636,6
FDA45,21.25,0,0.155350299,178.237,OUT035,2,1,1,529.311,9,1,1.1423485111787088,6
NCO26,7.235,1,0.076841095,117.5492,OUT035,2,1,1,1969.4364,9,2,0.9294568161541141,6
DRJ25,14.6,0,0.151419185,50.3692,OUT017,2,1,1,1034.6532,6,0,0.9348909874937066,2
FDR28,13.85,2,0.026001976,161.52100000000002,OUT018,1,2,2,1794.3310000000001,4,1,0.9334195337935713,3
FDI04,13.65,2,0.073209447,197.6426,OUT018,1,2,2,2768.3964,4,1,0.8782920695301611,3
DRK12,9.5,0,0.041683481,31.29,OUT027,1,2,3,898.83,28,0,1.118510677614236,5
FDX20,7.365,0,0.042560252,226.172,OUT046,2,0,1,3169.208,16,1,0.9222899096810624,8
NCI18,18.35,1,0.014081156000000001,223.5746,OUT018,1,2,2,3589.9936,4,2,1.0031395315671328,3
FDB36,5.465,2,0.030340533875000006,132.5626,OUT018,1,2,2,262.3252,4,1,1.0,3
FDN13,18.6,0,0.152918384,99.8358,OUT017,2,1,1,1910.1802,6,1,0.9275067616421127,2
DRD24,13.85,0,0.030969273999999998,140.9154,OUT017,2,1,1,1701.7848,6,0,0.8796766065967719,2
FDQ28,14.0,2,0.06037677599999999,154.5656,OUT013,0,2,1,2471.4496,26,1,0.9581548452467621,1
FDM22,14.0,2,0.04192285,54.763999999999996,OUT013,0,2,1,1331.6,26,1,0.9577807072177706,1
FDR07,21.349999999999998,0,0.077367431,97.0094,OUT027,1,2,3,1808.9786,28,1,0.8704928811879857,5
FDV25,5.905,0,0.045838211,222.5456,OUT018,1,2,2,3315.684,4,1,1.032019303296592,3
DRF49,7.27,0,0.071077939,114.2518,OUT046,2,0,1,2618.5914,16,0,0.9222899205805942,8
FDW51,6.155,2,0.09465987099999999,214.55599999999998,OUT046,2,0,1,2769.728,16,1,0.9296326010221122,8
DRL01,19.5,2,0.077608838,233.4958,OUT017,2,1,1,5375.0034,6,0,0.9640005180117761,2
FDP25,15.2,0,0.021327477,216.8824,OUT017,2,1,1,2838.9712,6,1,0.8796766086282274,2
FDL50,12.15,2,0.042485444000000004,125.0046,OUT018,1,2,2,1743.0644,4,1,1.0029791841441567,3
NCB30,14.599999999999998,1,0.025578526,198.8084,OUT027,1,2,3,5555.4352,28,2,0.8588781859041476,5
FDW11,12.6,0,0.048980800000000005,61.9194,OUT018,1,2,2,619.194,4,1,0.9334195363385649,3
NCM43,14.5,1,0.019471688,164.821,OUT035,2,1,1,2120.573,9,2,0.8745633861423519,6
FDK44,16.6,0,0.122918852,173.0738,OUT017,2,1,1,3823.0236,6,1,1.0334068463863535,2
FDM15,11.8,2,0.057373797000000004,151.4366,OUT013,0,2,1,1360.2294,26,1,1.0269215074287217,1
FDS31,13.1,2,0.044155597000000005,178.8318,OUT013,0,2,1,3969.4996,26,1,1.2835635625069757,1
FDI32,17.7,0,0.291865402,115.1834,OUT010,2,2,0,345.5502,15,1,1.7757189021520592,0
FDR47,17.85,0,0.0853547126,196.5794,OUT010,2,2,0,585.2382,15,1,1.0,0
FDB35,12.3,2,0.064750025,92.6804,OUT045,2,1,1,1010.6844,11,1,0.8765027642551428,7
NCU05,11.8,1,0.098312421,81.4618,OUT010,2,2,0,161.1236,15,2,1.556014400369685,0
DRY23,9.394999999999998,2,0.191013663,42.1112,OUT019,2,0,0,42.6112,28,0,1.614810591823397,4
FDO24,11.1,0,0.176573035,157.4604,OUT045,2,1,1,3010.7476,11,1,1.154451505620405,7
FDQ28,14.0,2,0.060134441,153.0656,OUT027,1,2,3,6024.1584,28,1,0.9543090874934353,5
FDV39,11.3,0,0.0072946519999999996,198.1426,OUT045,2,1,1,988.7130000000001,11,1,1.1262327974121638,7
NCO17,10.0,1,0.128478462,117.944,OUT019,2,0,0,239.688,28,2,2.030821695588021,4
FDU50,5.75,2,0.075107656,112.8176,OUT013,0,2,1,1374.2112,26,1,1.1413557259797926,1
FDT12,6.215,2,0.049381405999999996,226.8062,OUT027,1,2,3,4739.8302,28,1,1.0279231323482272,5
FDK58,11.35,2,0.045165795999999994,100.0016,OUT018,1,2,2,1012.0160000000001,4,1,1.1647421241026197,3
FDO08,11.099999999999998,2,0.09415375,165.7526,OUT019,2,0,0,657.8104,28,1,1.6790026719759485,4
NCW29,14.0,1,0.028907832,130.431,OUT049,1,0,1,778.9860000000001,14,2,0.8760887780212523,9
FDE04,19.75,2,0.018059621,179.766,OUT045,2,1,1,2336.958,11,1,1.0388202836684413,7
NCB19,6.525,1,0.09043609400000001,85.0882,OUT049,1,0,1,2233.0932,14,2,0.9237238358273694,9
FDV15,10.3,0,0.146399712,103.9648,OUT049,1,0,1,1661.8368,14,1,0.9237238319507569,9
FDL58,5.78,2,0.07426435599999999,264.7568,OUT049,1,0,1,4745.8224,14,1,0.9605895800086919,9
FDA08,11.85,2,0.050186725999999994,164.1526,OUT045,2,1,1,3124.5994,11,1,1.0296561079411697,7
FDT43,16.35,0,0.020631654,50.1324,OUT018,1,2,2,467.3916,4,1,0.8782920556602148,3
NCX06,17.599999999999998,1,0.01561108,182.5976,OUT027,1,2,3,5070.7328,28,2,0.8704929095813484,5
FDT20,10.5,0,0.041395445,37.6164,OUT046,2,0,1,540.6296,16,1,0.9296325980403759,8
FDB41,19.0,2,0.097313129,48.0718,OUT046,2,0,1,992.7078,16,1,0.8747287957135111,8
NCN55,14.6,1,0.059582996,238.8538,OUT049,1,0,1,6008.845,14,2,1.038306987239153,9
FDE40,15.599999999999998,2,0.09866365199999999,62.9194,OUT027,1,2,3,2105.2596,28,1,1.0230940301501106,5
FDX49,4.615000000000001,2,0.101338651,232.63,OUT027,1,2,3,5359.69,28,1,0.9946778264859069,5
NCM53,18.75,1,0.052146455999999994,104.62799999999999,OUT045,2,1,1,745.696,11,2,0.9315179299020399,7
FDE36,5.26,2,0.041764487,161.8868,OUT035,2,1,1,3275.736,9,1,0.9579524690556221,6
FDN57,18.25,0,0.054344185999999996,140.2154,OUT045,2,1,1,1701.7848,11,1,0.9241603485727962,7
FDI24,10.299999999999999,0,0.07836248400000001,177.937,OUT027,1,2,3,6704.606,28,1,0.9178236833668947,5
FDI19,15.1,0,0.052339069,242.7512,OUT046,2,0,1,4119.9704,16,1,1.0423259499096666,8
FDF24,15.5,2,0.042464962,81.5934,OUT010,2,2,0,327.5736,15,1,1.5560144068778499,0
FDG52,13.65,0,0.06573288299999999,45.7402,OUT049,1,0,1,780.9834,14,1,1.0006230405301115,9
DRF36,16.1,0,0.023625114,189.3846,OUT045,2,1,1,3630.6074,11,0,0.9315179356850788,7
FDS45,5.175,2,0.051643608,107.3622,OUT019,2,0,0,317.5866,28,1,1.531537193669292,4
FDX40,12.85,0,0.165694219,39.7164,OUT010,2,2,0,231.6984,15,1,1.6044346451457265,0
DRK12,9.5,0,0.041878397000000005,32.99,OUT035,2,1,1,133.16,9,0,1.1237409420261228,6
DRC27,13.8,0,0.058091482,245.1802,OUT035,2,1,1,5650.6446,9,0,0.8745633898078159,6
FDL58,5.78,2,0.07731122380000001,263.7568,OUT017,2,1,1,2636.5679999999998,6,1,1.0,2
NCD30,19.7,1,0.026903714,96.0726,OUT045,2,1,1,1272.3438,11,2,1.0382411437939263,7
NCZ54,14.65,1,0.0813447597,161.5552,OUT010,2,2,0,324.9104,15,2,1.0,0
FDE10,6.67,2,0.150554711,130.0626,OUT010,2,2,0,131.1626,15,1,1.7355638562226758,0
FDR44,6.11,2,0.09157041555555556,131.2968,OUT010,2,2,0,260.9936,15,1,1.0,0
FDP28,13.65,2,0.13497562800000001,260.0936,OUT010,2,2,0,260.9936,15,1,1.5560143938388802,0
FDX15,17.2,0,0.15616879,160.6578,OUT013,0,2,1,3690.5294,26,1,0.9982383500644568,1
FDA39,6.32,0,0.011040999499999999,40.2822,OUT035,2,1,1,1139.1838,9,1,1.0,6
FDY24,4.88,2,0.133700752,52.9298,OUT049,1,0,1,1995.4026,14,1,1.0620630277163012,9
FDC60,5.425,2,0.115119905,88.3514,OUT017,2,1,1,1416.8224,6,1,0.8796766119655859,2
FDH28,15.85,2,0.11003099699999999,37.2506,OUT046,2,0,1,265.6542,16,1,0.9581336434912332,8
FDT25,7.5,0,0.051038045,121.7072,OUT017,2,1,1,3552.7088,6,1,0.8796766155939332,2
DRJ13,12.65,0,0.062837968,161.5578,OUT013,0,2,1,2406.867,26,0,0.9288589854817186,1
NCO07,9.06,1,0.017116983,211.956,OUT019,2,0,0,213.05599999999998,28,2,1.6148106140981398,4
FDW20,20.75,0,0.024129332000000003,124.17299999999999,OUT013,0,2,1,2956.152,26,1,1.0358550520433913,1
DRF27,8.93,0,0.049754975,152.134,OUT019,2,0,0,153.134,28,0,1.614810585881248,4
FDS49,9.0,0,0.07721649277777778,79.7644,OUT035,2,1,1,1649.8524,9,1,1.0,6
FDX25,16.7,0,0.101561568,181.9292,OUT027,1,2,3,3101.2964,28,1,1.3259467818534034,5
NCX42,6.36,1,0.0059496440000000005,165.6526,OUT027,1,2,3,4769.1254,28,2,0.9178237065234705,5
FDG33,5.365000000000001,2,0.13956116,170.4764,OUT027,1,2,3,3435.528,28,1,0.870492878994874,5
FDL56,14.1,0,0.126035694,86.4198,OUT045,2,1,1,1133.8574,11,1,0.9241603432989562,7
FDF14,7.55,0,0.027164679,152.334,OUT035,2,1,1,2603.278,9,1,0.9988808467785639,6
NCD06,13.0,1,0.099325278,45.406000000000006,OUT046,2,0,1,605.878,16,2,0.9222899126493381,8
DRM47,9.299999999999999,0,0.04357366,192.8846,OUT027,1,2,3,2293.0152,28,0,0.9251308182990381,5
FDS46,17.599999999999998,2,0.082741482,118.7782,OUT019,2,0,0,119.1782,28,1,1.61481058939147,4
FDB35,12.3,2,0.064565202,92.9804,OUT013,0,2,1,1929.4884,26,1,0.8740008676088028,1
FDX21,7.049999999999999,0,0.08455456900000001,109.8912,OUT027,1,2,3,2074.6328,28,1,0.8704928772575169,5
NCU05,11.799999999999999,1,0.058451805,79.9618,OUT027,1,2,3,241.6854,28,2,0.9251308164570655,5
NCR38,17.25,1,0.113748685,251.3724,OUT045,2,1,1,6795.1548,11,2,0.9241603485949121,7
NCR18,15.85,1,0.020603511,42.7112,OUT017,2,1,1,639.168,6,2,1.004720877494126,2
NCU41,18.85,1,0.052044976,192.1846,OUT035,2,1,1,3248.4382,9,2,0.9294568228249105,6
FDY56,16.35,2,0.06276442900000001,227.6062,OUT017,2,1,1,7222.5984,6,1,0.8796766183746416,2
DRJ51,14.1,0,0.08797726199999999,229.0668,OUT035,2,1,1,3225.1352,9,0,1.0275824512146627,6
FDK21,7.905,0,0.010010425,249.0408,OUT035,2,1,1,3755.112,9,1,0.929456772139558,6
FDY25,12.0,0,0.033946163,179.3976,OUT013,0,2,1,3440.8544,26,1,1.1409453715997848,1
FDU44,12.15,2,0.058414678,163.4552,OUT035,2,1,1,974.7312,9,1,0.9221155208157991,6
FDL43,10.1,0,0.027106459,75.367,OUT049,1,0,1,535.969,14,1,0.9237238291767561,9
FDF05,17.5,0,0.027022882999999998,262.491,OUT017,2,1,1,5259.82,6,1,0.9275067682026313,2
DRF15,18.349999999999998,0,0.058153409,152.034,OUT019,2,0,0,306.268,28,0,1.6782131689970188,4
FDL20,17.1,0,0.128937661,112.3886,OUT018,1,2,2,1779.0176,4,1,1.0317803355138695,3
